"","event_id","lat","long","year"
"1","1996-0020-AFG",36,65,"1996"
"2","1996-0021-CHN",25.04,102.41,"1996"
"3","1996-0081-CHN",40.774,109.661,"1996"
"4","1996-0136-CHN",39.28,76.44,"1996"
"5","1996-0205-CHN",26.51,100.16,"1996"
"6","1996-0002-IDN",0.729,119.931,"1996"
"7","1996-0061-IDN",1.1,137.15,"1996"
"8","1996-0062-ECU",-0.68,-78.3,"1996"
"9","1996-0179-GRC",40.03,20.45,"1996"
"10","1996-0262-GTM",14.4,-90.6,"1996"
"11","1996-0212-HRV",42.7,18,"1996"
"12","1996-0237-ISL",64.42,-17.33,"1996"
"13","1996-0261-PER",-14.9,-75.7,"1996"
"14","1996-0042-PER",-9.593,-79.587,"1996"
"15","1996-0238-PNG",-4.3,152.2,"1996"
"16","1996-0300-PNG",-4.08,145.037,"1996"
"17","1996-0461-TUR",40.754,35.34,"1996"
